Year,Nearest Census Year,Field of study,Education,Education Level Group,Graduates,Graduates (5Y),Tuition,Median income
2000,2001,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,9843.0,,,
2000,2001,Architecture & Engineering,Master's or equivalent,Graduate,2415.0,,,
2000,2001,Architecture & Engineering,Doctoral or equivalent,Graduate,564.0,,,
2001,2001,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,10140.0,,,
2001,2001,Architecture & Engineering,Master's or equivalent,Graduate,2583.0,25545.0,,
2001,2001,Architecture & Engineering,Doctoral or equivalent,Graduate,474.0,16176.0,,
2002,2001,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,10602.0,24363.0,,
2002,2001,Architecture & Engineering,Master's or equivalent,Graduate,3024.0,26823.0,,
2002,2001,Architecture & Engineering,Doctoral or equivalent,Graduate,510.0,17193.0,,
2003,2001,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,11685.0,26295.0,,
2003,2001,Architecture & Engineering,Master's or equivalent,Graduate,3636.0,29457.0,,
2003,2001,Architecture & Engineering,Doctoral or equivalent,Graduate,522.0,19377.0,,
2004,2006,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,11967.0,28320.0,,
2004,2006,Architecture & Engineering,Master's or equivalent,Graduate,4353.0,32163.0,,
2004,2006,Architecture & Engineering,Doctoral or equivalent,Graduate,627.0,21105.0,,
2005,2006,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,11961.0,29430.0,,
2005,2006,Architecture & Engineering,Master's or equivalent,Graduate,4569.0,33477.0,,
2005,2006,Architecture & Engineering,Doctoral or equivalent,Graduate,642.0,22152.0,,
2006,2006,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,12489.0,30288.0,4501.635085978836,
2006,2006,Architecture & Engineering,Master's or equivalent,Graduate,4455.0,34116.0,4072.2491732804237,
2006,2006,Architecture & Engineering,Doctoral or equivalent,Graduate,732.0,22887.0,4072.2491732804237,
2007,2006,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,13365.0,31683.0,4707.814814814816,
2007,2006,Architecture & Engineering,Master's or equivalent,Graduate,4338.0,35379.0,4335.095072751324,
2007,2006,Architecture & Engineering,Doctoral or equivalent,Graduate,897.0,23787.0,4335.095072751324,
2008,2006,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,13191.0,32523.0,5019.345734126985,
2008,2006,Architecture & Engineering,Master's or equivalent,Graduate,4293.0,36084.0,4587.565476190477,
2008,2006,Architecture & Engineering,Doctoral or equivalent,Graduate,1023.0,23742.0,4587.565476190477,
2009,2011,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,12441.0,31845.0,5318.904927248678,
2009,2011,Architecture & Engineering,Master's or equivalent,Graduate,4578.0,35526.0,5283.255787037037,
2009,2011,Architecture & Engineering,Doctoral or equivalent,Graduate,1074.0,23409.0,5283.255787037037,
2010,2011,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,13062.0,32178.0,5592.9244378306885,
2010,2011,Architecture & Engineering,Master's or equivalent,Graduate,4884.0,36039.0,5494.756283068784,
2010,2011,Architecture & Engineering,Doctoral or equivalent,Graduate,1101.0,24699.0,5494.756283068784,
2011,2011,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,13542.0,33663.0,5626.977347883599,
2011,2011,Architecture & Engineering,Master's or equivalent,Graduate,5322.0,37911.0,5460.703373015874,
2011,2011,Architecture & Engineering,Doctoral or equivalent,Graduate,1119.0,25968.0,5460.703373015874,
2012,2011,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,13746.0,34830.0,5947.021494708995,58650.0
2012,2011,Architecture & Engineering,Master's or equivalent,Graduate,5913.0,39642.0,5953.672453703704,71950.0
2012,2011,Architecture & Engineering,Doctoral or equivalent,Graduate,1173.0,27273.0,5953.672453703704,62600.0
2013,2011,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,14877.0,36828.0,6144.954034391535,57100.0
2013,2011,Architecture & Engineering,Master's or equivalent,Graduate,6492.0,42201.0,6095.204861111112,67225.0
2013,2011,Architecture & Engineering,Doctoral or equivalent,Graduate,1398.0,29853.0,6095.204861111112,61600.0
2014,2016,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,15219.0,39159.0,6440.788690476192,56600.0
2014,2016,Architecture & Engineering,Master's or equivalent,Graduate,6810.0,44796.0,6284.624173280424,63875.0
2014,2016,Architecture & Engineering,Doctoral or equivalent,Graduate,1479.0,31398.0,6284.624173280424,59700.0
2015,2016,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,16536.0,41442.0,6711.615740740742,55500.0
2015,2016,Architecture & Engineering,Master's or equivalent,Graduate,7230.0,47274.0,6467.658564814816,64525.0
2015,2016,Architecture & Engineering,Doctoral or equivalent,Graduate,1575.0,33630.0,6467.658564814816,59400.0
2016,2016,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,17169.0,43989.0,6828.8854497354505,51750.0
2016,2016,Architecture & Engineering,Master's or equivalent,Graduate,7731.0,50241.0,6185.923941798943,60900.0
2016,2016,Architecture & Engineering,Doctoral or equivalent,Graduate,1644.0,35349.0,6185.923941798943,60300.0
2017,2016,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,18477.0,46596.0,6944.8781746031755,49800.0
2017,2016,Architecture & Engineering,Master's or equivalent,Graduate,7902.0,52923.0,6907.419973544975,63875.0
2017,2016,Architecture & Engineering,Doctoral or equivalent,Graduate,1761.0,37515.0,6907.419973544975,62100.0
2018,2021,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,19161.0,48945.0,7221.345238095239,53500.0
2018,2021,Architecture & Engineering,Master's or equivalent,Graduate,9255.0,56556.0,6952.752910052911,63575.0
2018,2021,Architecture & Engineering,Doctoral or equivalent,Graduate,1653.0,39732.0,6952.752910052911,64300.0
2019,2021,Architecture & Engineering,Bachelor's or equivalent,Undergraduate,20088.0,51918.0,6765.249074074075,58250.0
